作業日,作業予定名称,予定開始時間(xx:xx),作業終了日,予定の表示色
2024-07-02,球技,06:00-,2024-07-02,RED
2024-07-03,サッカー,06:30-,2024-07-03,RED
2024-07-04,テスト,06:00-,2024-07-04,BLUE
2024-07-08,テニス,06:00-,2024-07-08,GREEN
2024-07-09,テスト,06:00-,2024-07-09,RED
2024-07-10,  ,06:00-,2024-07-10,RED
2024-07-12,競馬,10:30-,2024-07-12,GREEN
2024-07-14,ゴルフ,06:00-,2024-07-14,RED
2024-07-15,ゴルフ,12:30-,2024-07-15,GREEN
2024-07-16,ゴルフ,06:00-,2024-07-16,RED
2024-07-18,野球,06:00-,2024-07-18,BLUE
2024-07-22,野球,06:00-,2024-07-22,RED
2024-07-23,野球,12:45-,2024-07-23,GREEN
2024-07-25,ゴルフ,06:00-,2024-07-25,RED
2024-07-26,競馬,06:00-,2024-07-26,GREEN
2024-07-29,野球,06:00-,2024-07-29,GREEN
2024-07-31,テスト,06:00-,2024-07-31,RED
2024-09-02,テスト,10:00-,2024-09-02,BLUE
2024-09-04,テスト,06:00-,2024-09-04,RED
2024-09-05,テスト,07:00-,2024-09-05,BLUE
2024-09-10,ゴルフ,06:00-,2024-09-10,GREEN
2024-09-14,ゴルフ,06:00-,2024-09-14,RED
2024-09-15,テニス,06:00-,2024-09-15,BLUE
2024-09-16,野球,06:00-,2024-09-16,BLUE
2024-09-19,サッカー,06:00-,2024-09-19,BLUE
2024-09-30,ゴルフ,06:00-,2024-09-30,RED
2024-10-31,テニス,06:00-,2024-10-31,RED
2024-12-31,テスト,06:00-,2024-12-31,RED
2025-01-01,テスト,06:00-,2025-01-01,RED
2025-07-01,テスト,06:00-,2025-07-01,RED
2025-07-31,テスト,06:00-,2025-07-31,RED
2025-08-01,テスト,06:00-,2025-08-01,RED
2025-10-02,野球観戦,10:30-,2025-10-02,BLUE
